"ch" "freq"
"137" "000100000000000000000000000000010000000000000000" 1
"138" "000100000000000000010000000000000000000000000000" 1
"139" "000100000000000000100000000000000000000000000000" 1
"140" "000100000000000010000000000000000000000000000000" 1
"141" "000100000000000100000000000000000000001000000000" 1
"142" "000100000000001000000000000000000000000000000000" 2
"143" "000100000000010000000000000000000000000000000000" 2
"144" "000100010000000100010000000000000000000100000000" 1
"145" "000100100000000000000000000001000000000000000000" 1
"146" "000100100000001100000000000000000000000000000000" 1
"147" "010000000000000000000000000000000000000100000000" 1
"148" "010000000000001000000000000000000000000000000000" 1
"149" "010000100000000000000000000000000000000000000000" 1
"150" "010001000000000000000000000000000000010000000000" 1
